name,arm,distance,condition,measure,lens,layer,rank
Maria,inferred,0,baseline,trait,logit,13,3105
Maria,inferred,0,baseline,trait,jlens,14,7653
Maria,inferred,0,baseline,trait,logit,14,1164
Maria,inferred,0,baseline,trait,jlens,15,410
Maria,inferred,0,baseline,trait,logit,15,1101
Maria,inferred,0,baseline,trait,jlens,16,373
Maria,inferred,0,baseline,trait,logit,16,421
Maria,inferred,0,baseline,trait,jlens,17,5
Maria,inferred,0,baseline,trait,logit,17,55
Maria,inferred,0,baseline,trait,jlens,18,5
Maria,inferred,0,baseline,trait,logit,18,66
Maria,inferred,0,baseline,trait,jlens,19,10
Maria,inferred,0,baseline,trait,logit,19,64
Maria,inferred,0,baseline,trait,jlens,20,2
Maria,inferred,0,baseline,trait,logit,20,17
Maria,inferred,0,baseline,trait,jlens,21,1
Maria,inferred,0,baseline,trait,logit,21,14
Maria,inferred,0,baseline,trait,jlens,22,1
Maria,inferred,0,baseline,trait,logit,22,14
Maria,inferred,0,baseline,trait,jlens,23,3
